name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
24 Sextantis b,235,1.99 Jupiters,6.4535,2010

24 Sextantis c,235,0.86 Jupiters,6.4535,2010

2M0437 b,419,4 Jupiters,16.186,2021

2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013

2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013

2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015

2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010

2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004

2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015

2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009

2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016

30 Arietis B b,146,13.82 Jupiters,7.09209,2009

42 Draconis b,296,3.88 Jupiters,4.8262,2008

47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996

47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001

47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009

11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007

11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009

14 Andromedae b,246,4.8 Jupiters,5.23133,2008

14 Herculis b,58,4.66 Jupiters,6.61935,2002

16 Cygni B b,69,1.78 Jupiters,6.215,1996

17 Scorpii b,408,4.32 Jupiters,5.22606,2020

18 Delphini b,249,10.3 Jupiters,5.51048,2008

1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008

24 Bootis b,313,0.91 Jupiters,5.59,2018

24 Sextantis b,235,1.99 Jupiters,6.4535,2010

24 Sextantis c,235,0.86 Jupiters,6.4535,2010

2M0437 b,419,4 Jupiters,16.186,2021

2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013

2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013

2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015

2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010

2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004

2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015

2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009

2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016

30 Arietis B b,146,13.82 Jupiters,7.09209,2009

42 Draconis b,296,3.88 Jupiters,4.8262,2008

47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996

47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001

47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009

11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007

11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009

14 Andromedae b,246,4.8 Jupiters,5.23133,2008

14 Herculis b,58,4.66 Jupiters,6.61935,2002

16 Cygni B b,69,1.78 Jupiters,6.215,1996

17 Scorpii b,408,4.32 Jupiters,5.22606,2020

18 Delphini b,249,10.3 Jupiters,5.51048,2008

1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008

24 Bootis b,313,0.91 Jupiters,5.59,2018

24 Sextantis b,235,1.99 Jupiters,6.4535,2010

24 Sextantis c,235,0.86 Jupiters,6.4535,2010

2M0437 b,419,4 Jupiters,16.186,2021

2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013

2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013

2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015

2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010

2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004

2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015

2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009

2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016

30 Arietis B b,146,13.82 Jupiters,7.09209,2009

42 Draconis b,296,3.88 Jupiters,4.8262,2008

47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996

47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001

47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009

11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007

11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009

14 Andromedae b,246,4.8 Jupiters,5.23133,2008

14 Herculis b,58,4.66 Jupiters,6.61935,2002

16 Cygni B b,69,1.78 Jupiters,6.215,1996

17 Scorpii b,408,4.32 Jupiters,5.22606,2020

18 Delphini b,249,10.3 Jupiters,5.51048,2008

1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008

24 Bootis b,313,0.91 Jupiters,5.59,2018

24 Sextantis b,235,1.99 Jupiters,6.4535,2010

24 Sextantis c,235,0.86 Jupiters,6.4535,2010

2M0437 b,419,4 Jupiters,16.186,2021

2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013

2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013

2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015

2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010

2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004

2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015

2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009

2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016

30 Arietis B b,146,13.82 Jupiters,7.09209,2009

42 Draconis b,296,3.88 Jupiters,4.8262,2008

47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996

47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001

47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009

4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006

51 Eridani b,97,2 Jupiters,5.21149,2015

51 Pegasi b,50,0.46 Jupiters,5.45309,1995

55 Cancri b,41,0.8306 Jupiters,5.95084,1996

55 Cancri c,41,0.1714 Jupiters,5.95084,2004

55 Cancri d,41,3.878 Jupiters,5.95084,2002

55 Cancri e,41,7.99 Earths,5.95084,2004

55 Cancri f,41,0.141 Jupiters,5.95084,2007

61 Virginis b,28,5.1 Earths,4.6955,2009

61 Virginis c,28,18.2 Earths,4.6955,2009

61 Virginis d,28,22.9 Earths,4.6955,2009

6 Lyncis b,178,2.01 Jupiters,5.87307,2008

70 Virginis b,58,7.49 Jupiters,4.96808,1996

75 Ceti b,271,3 Jupiters,5.3532,2012

7 Canis Majoris b,65,1.85 Jupiters,3.95,2011

7 Canis Majoris c,65,0.87 Jupiters,3.95,2019

81 Ceti b,330,5.3 Jupiters,5.64307,2008

8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015

91 Aquarii b,144,3.2 Jupiters,4.23946,2013

AB Aurigae b,529,9 Jupiters,7.076,2022

AB Pictoris b,163,13.5 Jupiters,9.13,2005

Alpha Arietis b,66,1.8 Jupiters,2.00538,2010

Alpha Tauri b,67,6.47 Jupiters,0.872,2015

AU Microscopii b,32,17 Earths,8.81,2020

AU Microscopii c,32,13.6 Earths,8.81,2021

4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006

51 Eridani b,97,2 Jupiters,5.21149,2015

51 Pegasi b,50,0.46 Jupiters,5.45309,1995

55 Cancri b,41,0.8306 Jupiters,5.95084,1996

55 Cancri c,41,0.1714 Jupiters,5.95084,2004

55 Cancri d,41,3.878 Jupiters,5.95084,2002

55 Cancri e,41,7.99 Earths,5.95084,2004

55 Cancri f,41,0.141 Jupiters,5.95084,2007

61 Virginis b,28,5.1 Earths,4.6955,2009

61 Virginis c,28,18.2 Earths,4.6955,2009

61 Virginis d,28,22.9 Earths,4.6955,2009

6 Lyncis b,178,2.01 Jupiters,5.87307,2008

70 Virginis b,58,7.49 Jupiters,4.96808,1996

75 Ceti b,271,3 Jupiters,5.3532,2012

7 Canis Majoris b,65,1.85 Jupiters,3.95,2011

7 Canis Majoris c,65,0.87 Jupiters,3.95,2019

81 Ceti b,330,5.3 Jupiters,5.64307,2008

8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015

91 Aquarii b,144,3.2 Jupiters,4.23946,2013

AB Aurigae b,529,9 Jupiters,7.076,2022

AB Pictoris b,163,13.5 Jupiters,9.13,2005

Alpha Arietis b,66,1.8 Jupiters,2.00538,2010

Alpha Tauri b,67,6.47 Jupiters,0.872,2015

AU Microscopii b,32,17 Earths,8.81,2020

AU Microscopii c,32,13.6 Earths,8.81,2021

HAT-P-19 b,659,0.292 Jupiters,12.826,2010

HAT-P-20 b,232,7.246 Jupiters,11.231,2010

HAT-P-22 b,267,2.47 Jupiters,9.763,2010

HAT-P-2 b,417,8.7 Jupiters,8.72,2007

HAT-P-32 b,943,0.68 Jupiters,11.439,2011

HAT-P-33 b,1292,0.92 Jupiters,11.032,2011

HAT-P-35 b,1654,1.056 Jupiters,12.389,2011

HAT-P-37 b,1274,1.169 Jupiters,13.427,2011

HAT-P-40 b,1515,0.48 Jupiters,11.34,2012

HAT-P-43 b,1725,0.662 Jupiters,13.279,2012

HAT-P-45 b,974,0.892 Jupiters,12.783,2014

HAT-P-51 b,1436,0.309 Jupiters,13.51,2015

HAT-P-56 b,1046,2.31 Jupiters,10.92,2015

HATS-12 b,2434,2.39 Jupiters,12.831,2016

HATS-15 b,3717,2.17 Jupiters,14.909,2016

HATS-25 b,1537,0.613 Jupiters,13.172,2016

HATS-27 b,2665,0.53 Jupiters,12.782,2016

HATS-28 b,1746,0.672 Jupiters,13.981,2016

HATS-36 b,2794,3.216 Jupiters,14.364,2018

HATS-40 b,4379,1.59 Jupiters,13.478,2018

HATS-44 b,1455,0.56 Jupiters,14.397,2018

HATS-45 b,2519,0.7 Jupiters,13.325,2018

HATS-48 A b,860,0.243 Jupiters,14.226,2020

HATS-49 b,1058,0.353 Jupiters,14.988,2020

HATS-54 b,2442,0.76 Jupiters,13.937,2019

HAT-P-19 b,659,0.292 Jupiters,12.826,2010

HAT-P-20 b,232,7.246 Jupiters,11.231,2010

HAT-P-22 b,267,2.47 Jupiters,9.763,2010

HAT-P-2 b,417,8.7 Jupiters,8.72,2007

HAT-P-32 b,943,0.68 Jupiters,11.439,2011

HAT-P-33 b,1292,0.92 Jupiters,11.032,2011

HAT-P-35 b,1654,1.056 Jupiters,12.389,2011

HAT-P-37 b,1274,1.169 Jupiters,13.427,2011

HAT-P-40 b,1515,0.48 Jupiters,11.34,2012

HAT-P-43 b,1725,0.662 Jupiters,13.279,2012

HAT-P-45 b,974,0.892 Jupiters,12.783,2014

HAT-P-51 b,1436,0.309 Jupiters,13.51,2015

HAT-P-56 b,1046,2.31 Jupiters,10.92,2015

HATS-12 b,2434,2.39 Jupiters,12.831,2016

HATS-15 b,3717,2.17 Jupiters,14.909,2016

HATS-25 b,1537,0.613 Jupiters,13.172,2016

HATS-27 b,2665,0.53 Jupiters,12.782,2016

HATS-28 b,1746,0.672 Jupiters,13.981,2016

HATS-36 b,2794,3.216 Jupiters,14.364,2018

HATS-40 b,4379,1.59 Jupiters,13.478,2018

HATS-44 b,1455,0.56 Jupiters,14.397,2018

HATS-45 b,2519,0.7 Jupiters,13.325,2018

HATS-48 A b,860,0.243 Jupiters,14.226,2020

HATS-49 b,1058,0.353 Jupiters,14.988,2020

HATS-54 b,2442,0.76 Jupiters,13.937,2019

HAT-P-19 b,659,0.292 Jupiters,12.826,2010

HAT-P-20 b,232,7.246 Jupiters,11.231,2010

HAT-P-22 b,267,2.47 Jupiters,9.763,2010

HAT-P-2 b,417,8.7 Jupiters,8.72,2007

HAT-P-32 b,943,0.68 Jupiters,11.439,2011

HAT-P-33 b,1292,0.92 Jupiters,11.032,2011

HAT-P-35 b,1654,1.056 Jupiters,12.389,2011

HAT-P-37 b,1274,1.169 Jupiters,13.427,2011

HAT-P-40 b,1515,0.48 Jupiters,11.34,2012

HAT-P-43 b,1725,0.662 Jupiters,13.279,2012

HAT-P-45 b,974,0.892 Jupiters,12.783,2014

HAT-P-51 b,1436,0.309 Jupiters,13.51,2015

HAT-P-56 b,1046,2.31 Jupiters,10.92,2015

HATS-12 b,2434,2.39 Jupiters,12.831,2016

HATS-15 b,3717,2.17 Jupiters,14.909,2016

HATS-25 b,1537,0.613 Jupiters,13.172,2016

HATS-27 b,2665,0.53 Jupiters,12.782,2016

HATS-28 b,1746,0.672 Jupiters,13.981,2016

HATS-36 b,2794,3.216 Jupiters,14.364,2018

HATS-40 b,4379,1.59 Jupiters,13.478,2018

HATS-44 b,1455,0.56 Jupiters,14.397,2018

HATS-45 b,2519,0.7 Jupiters,13.325,2018

HATS-48 A b,860,0.243 Jupiters,14.226,2020

HATS-49 b,1058,0.353 Jupiters,14.988,2020

HATS-54 b,2442,0.76 Jupiters,13.937,2019

HAT-P-19 b,659,0.292 Jupiters,12.826,2010

HAT-P-20 b,232,7.246 Jupiters,11.231,2010

HAT-P-22 b,267,2.47 Jupiters,9.763,2010

HAT-P-2 b,417,8.7 Jupiters,8.72,2007

HAT-P-32 b,943,0.68 Jupiters,11.439,2011

HAT-P-33 b,1292,0.92 Jupiters,11.032,2011

HAT-P-35 b,1654,1.056 Jupiters,12.389,2011

HAT-P-37 b,1274,1.169 Jupiters,13.427,2011

HAT-P-40 b,1515,0.48 Jupiters,11.34,2012

HAT-P-43 b,1725,0.662 Jupiters,13.279,2012

HAT-P-45 b,974,0.892 Jupiters,12.783,2014

HAT-P-51 b,1436,0.309 Jupiters,13.51,2015

HAT-P-56 b,1046,2.31 Jupiters,10.92,2015

HATS-12 b,2434,2.39 Jupiters,12.831,2016

HATS-15 b,3717,2.17 Jupiters,14.909,2016

HATS-25 b,1537,0.613 Jupiters,13.172,2016

HATS-27 b,2665,0.53 Jupiters,12.782,2016

HATS-28 b,1746,0.672 Jupiters,13.981,2016

HATS-36 b,2794,3.216 Jupiters,14.364,2018

HATS-40 b,4379,1.59 Jupiters,13.478,2018

HATS-44 b,1455,0.56 Jupiters,14.397,2018

HATS-45 b,2519,0.7 Jupiters,13.325,2018

HATS-48 A b,860,0.243 Jupiters,14.226,2020

HATS-49 b,1058,0.353 Jupiters,14.988,2020

HATS-54 b,2442,0.76 Jupiters,13.937,2019

HAT-P-19 b,659,0.292 Jupiters,12.826,2010

HAT-P-20 b,232,7.246 Jupiters,11.231,2010

HAT-P-22 b,267,2.47 Jupiters,9.763,2010

HAT-P-2 b,417,8.7 Jupiters,8.72,2007

HAT-P-32 b,943,0.68 Jupiters,11.439,2011

HAT-P-33 b,1292,0.92 Jupiters,11.032,2011

HAT-P-35 b,1654,1.056 Jupiters,12.389,2011

HAT-P-37 b,1274,1.169 Jupiters,13.427,2011

HAT-P-40 b,1515,0.48 Jupiters,11.34,2012

HAT-P-43 b,1725,0.662 Jupiters,13.279,2012

HAT-P-45 b,974,0.892 Jupiters,12.783,2014

HAT-P-51 b,1436,0.309 Jupiters,13.51,2015

HAT-P-56 b,1046,2.31 Jupiters,10.92,2015

HATS-12 b,2434,2.39 Jupiters,12.831,2016

HATS-15 b,3717,2.17 Jupiters,14.909,2016

HATS-25 b,1537,0.613 Jupiters,13.172,2016

HATS-27 b,2665,0.53 Jupiters,12.782,2016

HATS-28 b,1746,0.672 Jupiters,13.981,2016

HATS-36 b,2794,3.216 Jupiters,14.364,2018

HATS-40 b,4379,1.59 Jupiters,13.478,2018

HATS-44 b,1455,0.56 Jupiters,14.397,2018

HATS-45 b,2519,0.7 Jupiters,13.325,2018

HATS-48 A b,860,0.243 Jupiters,14.226,2020

HATS-49 b,1058,0.353 Jupiters,14.988,2020

HATS-54 b,2442,0.76 Jupiters,13.937,2019

HD 112640 b,1055,5 Jupiters,6.53649,2020

HD 113538 b,53,0.36 Jupiters,9.05,2010

HD 11964 b,109,0.622 Jupiters,6.41525,2005

HD 125595 b,92,6.3566 Earths,9.03,2009

HD 12661 b,123,2.43 Jupiters,7.43,2000

HD 131496 b,430,1.8 Jupiters,7.8,2011

HD 133131 A b,168,1.42 Jupiters,7.66,2016

HD 134060 c,78,29.29 Earths,6.29,2019

HD 136352 b,48,4.72 Earths,5.65,2019

HD 13808 b,92,11.2 Earths,8.36,2021

HD 14067 b,463,7.8 Jupiters,6.53329,2014

HD 141399 e,121,0.66 Jupiters,7.20856,2014

HD 145934 b,743,2.28 Jupiters,8.495,2015

HD 147018 b,132,2.12 Jupiters,8.3,2009

HD 147379 b,35,28.55 Earths,8.61,2017

HD 14787 b,389,1.121 Jupiters,7.63,2018

HD 148164 b,252,1.23 Jupiters,8.23,2018

HD 149143 b,239,1.33 Jupiters,7.89,2005

HD 1502 b,623,2.75 Jupiters,8.36,2011

HD 150706 b,92,2.71 Jupiters,7.03,2012

HD 155358 b,142,0.99 Jupiters,7.28,2007

HD 1605 c,290,3.62 Jupiters,7.52,2015

HD 160691 b,51,1.676 Jupiters,5.12,2000

HD 160691 d,51,10.5547 Earths,5.12,2004

HD 164509 b,173,0.443 Jupiters,8.1,2010

HD 164509 b,173,0.443 Jupiters,8.1,2010

HD 165155 b,207,2.89 Jupiters,9.36,2016

HD 171238 b,146,2.72 Jupiters,8.61,2009

HD 17156 b,255,3.51 Jupiters,8.17,2007

HD 173416 b,431,2.7 Jupiters,6.04188,2008

HD 17674 b,145,0.87 Jupiters,7.535,2017

HD 176986 c,91,9.18 Earths,8.42,2017

HD 177830 c,205,0.15 Jupiters,7.18,2010

HD 179079 b,227,25.74423 Earths,7.95,2008

HD 180053 b,447,2.194 Jupiters,7.93,2018

HD 18015 b,404,3.18 Jupiters,7.89,2018

HD 180617 b,19,12.214 Earths,9.12,2018

HD 181234 b,156,8.37 Jupiters,8.59,2019

HD 181342 b,393,2.54 Jupiters,7.55,2009

HD 181433 b,88,6.3566 Earths,8.4,2008

HD 183263 b,177,3.95 Jupiters,7.86,2004

HD 183263 c,177,3.57 Jupiters,7.86,2008

HD 185269 b,170,1.01 Jupiters,6.67973,2006

HD 187123 c,150,1.99 Jupiters,7.83,2008

HD 189567 b,58,8.5 Earths,6.074,2021

HD 190360 c,52,19.069 Earths,5.738,2005

HD 190647 b,178,1.985 Jupiters,7.78,2007

HD 190984 b,483,3.1 Jupiters,8.76,2009

HD 191939 d,175,5.8 Earths,8.97,2020

HD 200964 c,237,1.214 Jupiters,6.48605,2010

HD 164509 b,173,0.443 Jupiters,8.1,2010

HD 165155 b,207,2.89 Jupiters,9.36,2016

HD 171238 b,146,2.72 Jupiters,8.61,2009

HD 17156 b,255,3.51 Jupiters,8.17,2007

HD 173416 b,431,2.7 Jupiters,6.04188,2008

HD 17674 b,145,0.87 Jupiters,7.535,2017

HD 176986 c,91,9.18 Earths,8.42,2017

HD 177830 c,205,0.15 Jupiters,7.18,2010

HD 179079 b,227,25.74423 Earths,7.95,2008

HD 180053 b,447,2.194 Jupiters,7.93,2018

HD 18015 b,404,3.18 Jupiters,7.89,2018

HD 180617 b,19,12.214 Earths,9.12,2018

HD 181234 b,156,8.37 Jupiters,8.59,2019

HD 181342 b,393,2.54 Jupiters,7.55,2009

HD 181433 b,88,6.3566 Earths,8.4,2008

HD 183263 b,177,3.95 Jupiters,7.86,2004

HD 183263 c,177,3.57 Jupiters,7.86,2008

HD 185269 b,170,1.01 Jupiters,6.67973,2006

HD 187123 c,150,1.99 Jupiters,7.83,2008

HD 189567 b,58,8.5 Earths,6.074,2021

HD 190360 c,52,19.069 Earths,5.738,2005

HD 190647 b,178,1.985 Jupiters,7.78,2007

HD 190984 b,483,3.1 Jupiters,8.76,2009

HD 191939 d,175,5.8 Earths,8.97,2020

HD 200964 c,237,1.214 Jupiters,6.48605,2010

HD 202772 A b,527,1.017 Jupiters,8.324,2019

HD 203030 b,128,11 Jupiters,8.45,2006

HD 204313 b,156,3.46 Jupiters,7.99,2010

HD 205739 b,302,1.37 Jupiters,8.56,2008

HD 206255 b,245,34.2 Earths,7.62,2019

HD 206610 b,480,2.036 Jupiters,8.34,2009

HD 20781 b,117,1.93 Earths,8.48,2019

HD 20781 c,117,5.33 Earths,8.48,2019

HD 20781 d,117,10.61 Earths,8.48,2019

HD 20794 b,20,2.7 Earths,4.26,2011

HD 20794 c,20,2.4 Earths,4.26,2011

HD 208527 b,1018,9.9 Jupiters,6.38984,2012

HD 20868 b,156,1.25 Jupiters,9.92,2008

HD 209458 b,158,0.73 Jupiters,7.65,1999

HD 210277 b,69,1.29 Jupiters,6.54348,1998

HD 210702 b,177,1.808 Jupiters,5.93022,2007

HD 211810 b,211,0.67 Jupiters,8.59,2018

HD 212301 b,177,0.51 Jupiters,7.76,2005

HD 212771 b,363,2.39 Jupiters,7.6,2009

HD 213240 b,133,5.58 Jupiters,6.81,2001

HD 213885 b,157,8.83 Earths,7.95,2019

HD 21411 b,95,0.20734 Jupiters,7.88,2019

HD 214823 b,331,20.3 Jupiters,8.06,2016

HD 215152 d,70,2.801 Earths,8.11,2018

HD 215497 b,132,6.3566 Earths,8.96,2009

HD 202772 A b,527,1.017 Jupiters,8.324,2019

HD 203030 b,128,11 Jupiters,8.45,2006

HD 204313 b,156,3.46 Jupiters,7.99,2010

HD 205739 b,302,1.37 Jupiters,8.56,2008

HD 206255 b,245,34.2 Earths,7.62,2019

HD 206610 b,480,2.036 Jupiters,8.34,2009

HD 20781 b,117,1.93 Earths,8.48,2019

HD 20781 c,117,5.33 Earths,8.48,2019

HD 20781 d,117,10.61 Earths,8.48,2019

HD 20794 b,20,2.7 Earths,4.26,2011

HD 20794 c,20,2.4 Earths,4.26,2011

HD 208527 b,1018,9.9 Jupiters,6.38984,2012

HD 20868 b,156,1.25 Jupiters,9.92,2008

HD 209458 b,158,0.73 Jupiters,7.65,1999

HD 210277 b,69,1.29 Jupiters,6.54348,1998

HD 210702 b,177,1.808 Jupiters,5.93022,2007

HD 211810 b,211,0.67 Jupiters,8.59,2018

HD 212301 b,177,0.51 Jupiters,7.76,2005

HD 212771 b,363,2.39 Jupiters,7.6,2009

HD 213240 b,133,5.58 Jupiters,6.81,2001

HD 213885 b,157,8.83 Earths,7.95,2019

HD 21411 b,95,0.20734 Jupiters,7.88,2019

HD 214823 b,331,20.3 Jupiters,8.06,2016

HD 215152 d,70,2.801 Earths,8.11,2018

HD 215497 b,132,6.3566 Earths,8.96,2009

HD 211810 b,211,0.67 Jupiters,8.59,2018

HD 212301 b,177,0.51 Jupiters,7.76,2005

HD 212771 b,363,2.39 Jupiters,7.6,2009

HD 213240 b,133,5.58 Jupiters,6.81,2001

HD 213885 b,157,8.83 Earths,7.95,2019

HD 21411 b,95,0.20734 Jupiters,7.88,2019

HD 214823 b,331,20.3 Jupiters,8.06,2016

HD 215152 c,70,1.72 Earths,8.11,2018

HD 215152 d,70,2.801 Earths,8.11,2018

HD 215497 b,132,6.3566 Earths,8.96,2009

HD 216437 b,87,2.223 Jupiters,6.04,2002

HD 21693 b,108,8.23 Earths,7.95,2019

HD 219134 f,21,7.3 Earths,5.56911,2015

HD 219134 g,21,10.80622 Earths,5.56911,2015

HD 219666 b,307,16.6 Earths,9.809,2018

HD 220197 b,210,0.2 Jupiters,8.92,2018

HD 220689 b,153,1.118 Jupiters,7.74,2012

HD 220842 b,211,3.18 Jupiters,7.98,2016

HD 221416 b,312,0.19 Jupiters,8.15,2019

HD 221585 b,182,1.61 Jupiters,7.457,2016

HD 23127 b,306,1.527 Jupiters,8.58,2006

HD 233832 b,192,1.78 Jupiters,10.15,2018

HD 23596 b,170,9.03 Jupiters,7.26122,2003

HD 238090 b,50,6.89 Earths,9.71,2020

HD 238914 b,1694,6 Jupiters,8.770001,2018

HD 220197 b,210,0.2 Jupiters,8.92,2018

HD 220689 b,153,1.118 Jupiters,7.74,2012

HD 220842 b,211,3.18 Jupiters,7.98,2016

HD 221416 b,312,0.19 Jupiters,8.15,2019

HD 221585 b,182,1.61 Jupiters,7.457,2016

HD 23127 b,306,1.527 Jupiters,8.58,2006

HD 233832 b,192,1.78 Jupiters,10.15,2018

HD 23596 b,170,9.03 Jupiters,7.26122,2003

HD 238090 b,50,6.89 Earths,9.71,2020

HD 238914 b,1694,6 Jupiters,8.770001,2018

HD 24064 b,979,12.89 Jupiters,6.74616,2015

HD 26965 b,16,8.47 Earths,4.42018,2018

HD 27894 c,143,0.162 Jupiters,9.36,2017

HD 28254 b,180,1.16 Jupiters,7.69,2010

HD 290327 b,184,2.43 Jupiters,8.99,2009

HD 30177 c,181,7.6 Jupiters,8.41,2016

HD 30562 b,85,1.22 Jupiters,5.77466,2009

HD 30856 b,428,1.547 Jupiters,7.91,2011

HD 31253 b,190,0.62 Jupiters,7.13266,2010

HD 31527 b,125,10.47 Earths,7.49,2019

HD 330075 b,148,0.48 Jupiters,9.36,2004

HD 331093 b,164,1.5 Jupiters,8.38,2021

